Rank;University;Town
1;Universitatea Babes-Bolyai;Cluj-Napoca
2;Universitatea Alexandru Ioan Cuza din Iasi;Iasi
3;Universitatea Politehnica din Bucuresti;Bucharest
4;Universitatea din Bucuresti;Bucharest
5;Academia de Studii Economice din Bucuresti;Bucharest
6;Universitatea Transilvania din Brasov;Brasov
7;Universitatea Technica din Cluj-Napoca;Cluj-Napoca
8;Universitatea de Vest din Timisoara;Timisoara
9;Universitatea Tehnica Gheorghe Asachi din Iasi;Iasi
10;Universitatea Politehnica din Timisoara;Timisoara
11;Universitatea Stefan cel Mare Suceava;Suceava
12;Universitatea Dunarea de Jos din Galati;Galati
13;Universitatea Lucian Blaga din Sibiu;Sibiu
14;Universitatea din Craiova;Craiova
15;Universitatea Ovidius Constanta;Constanta
16;Universitatea de Medicina, Farmacie, Stiinte si Tehnologie "George Emil Palade" din Targu Mures;Târgu Mures
17;Universitatea din Oradea;Oradea
18;Universitatea de Medicina si Farmacie Iuliu Hatieganu;Cluj-Napoca
19;Universitatea 1 Decembrie 1918 din Alba Iulia;Alba Iulia
20;Universitatea din Pitesti;Pitesti
21;Universitatea de Medicina si Farmacie Gr. T. Popa;Iasi
22;Universitatea de stiinte Agronomice si Medicina Veterinara din Bucuresti;Bucharest
23;Universitatea Sapientia;Cluj-Napoca
24;Scoala Nationala de Studii Politice si Administrative;Bucharest
25;Universitatea de Arhitectura si Urbanism Ion Mincu din Bucuresti;Bucharest
26;Universitatea de Medicina si Farmacie Carol Davila din Bucuresti;Bucharest
27;Universitatea Vasile Alecsandri din Bacau;Bacau
28;Universitatea de stiinte Agricole si Medicina Veterinara din Cluj-Napoca;Cluj-Napoca
29;Universitatea Tehnica de Constructii Bucuresti;Bucharest
30;Universitatea Aurel Vlaicu din Arad;Arad
31;Universitatea Româno-Americana;Bucharest
32;Universitatea de Medicina si Farmacie Victor Babes din Timisoara;Timisoara
33;Universitatea Danubius Galati;Galati
34;Universitatea Valahia din Târgoviste;Târgoviste
35;Universitatea de stiinte Agricole si Medicina Veterinara a Banatului Timisoara;Timisoara
36;Universitatea Spiru Haret;Bucharest
37;Universitatea Petrol-Gaze din Ploiesti;Ploiesti
38;Universitatea de Vest Vasile Goldis din Arad;Arad
39;Universitatea Constantin Brâncusi;Târgu Jiu
40;Universitatea de Stiintele Vietii "Ion Ionescu de la Brad";Iasi
41;Universitatea de Medicina si Farmacie din Craiova;Craiova
42;Universitatea din Petrosani;Petrosani
43;Universitatea Nationala de Arta Teatrala si Cinematografica Ion Luca Caragiale;Bucharest
44;Universitatea Agora din Oradea;Oradea
45;Universitatea Crestina Dimitrie Cantemir;Bucharest
46;Universitatea Titu Maiorescu;Bucharest
47;Universitatea Maritima din Constanta;Constanta
48;Universitatea Nationala de Muzica din Bucuresti;Bucharest
49;Universitatea Nationala de Arte George Enescu Iasi;Iasi
50;Universitatea Crestina Partium;Oradea
51;Universitatea Nicolae Titulescu din Bucuresti;Bucharest
52;Universitatea Nationala de Arte din Bucuresti;Bucharest
53;Universitatea de Arta si Design din Cluj-Napoca;Cluj-Napoca
54;Universitatea de Arte din Târgu Mures;Târgu Mures
55;Universitatea Ecologica din Bucuresti;Bucharest
56;Universitatea HYPERION;Bucharest
57;Universitatea Emanuel din Oradea;Oradea
58;Universitatea Tibiscus din Timisoara;Timisoara
59;Academia Nationala de Muzica Gheorghe Dima;Cluj-Napoca
60;Universitatea Nationala de Educatie Fizica si Sport;Bucharest
61;Universitatea George Bacovia Bacau;Bacau
62;Universitatea Petre Andrei din Iasi;Iasi
63;Universitatea Andrei Saguna;Constanta
64;Universitatea Apollonia din Iasi;Iasi
65;Universitatea Dimitrie Cantemir;Târgu Mures
66;Universitatea Bioterra din Bucuresti;Bucharest
67;Universitatea Constantin Brâncoveanu;Pitesti
68;Universitatea Mihail Kogalniceanu;Iasi
69;Institutul de Administrare a Afacerilor din Bucuresti;Bucharest
70;Universitatea Athenaeum din Bucuresti;Bucharest
71;Universitatea Artifex din Bucuresti;Bucharest
72;Universitatea Bogdan Voda din Cluj-Napoca;Cluj-Napoca
73;Universitatea Româno-Germana din Sibiu;Sibiu
74;Universitatea Europeana "Dragan" din Lugoj;Lugoj
